#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-10-14T19:43:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ543d562336ef	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=VII/155/rc3
#-nav=cat:VII/155&tab:{VII/155/rc3}&key:source=VII/155&HTTPPRM:&&-ref=VIZ543d562336ef&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=RA2000&-out=DE2000&-out=name&-out=altname&-out=PGC&-out=type&-out=T&-out=lumcl&-out=D25&-out=R25&-out=PA&-out=BT&-out=BT_code&-out=BoT&-out=V21&-out=cz&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=VII/155/rc3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/155/rc3
#-order=I
#-out=RA2000
#-out=DE2000
#-out=name
#-out=altname
#-out=PGC
#-out=type
#-out=T
#-out=lumcl
#-out=D25
#-out=R25
#-out=PA
#-out=BT
#-out=BT_code
#-out=BoT
#-out=V21
#-out=cz
#

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	PGC	(a11)	PGC number	[ucd=meta.id;meta.main]
#Column	type	(a7)	Type	[ucd=src.morph.type]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	lumcl	(F4.1)	? Luminosity class (file "\begin{tex}\vFile{VII/155/./mtypes.tex}{mtypes.tex}\end{tex}")	[ucd=src.class.luminosity]
#Column	D25	(F5.2)	? Log D25	[ucd=phys.angSize;src]
#Column	R25	(F5.2)	? Log R25 (isophotal diameter ratio)	[ucd=phys.size;arith.ratio]
#Column	PA	(I3)	? Position angle of the major axis [NULL integer written as an empty string]	[ucd=pos.posAng]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	BT_code	(A1)	? BT code	[ucd=meta.code]
#Column	BoT	(F5.2)	? BoT	[ucd=phot.mag;em.opt.B]
#Column	V21	(I5)	? V21 (heliocentric radial velocity) [NULL integer written as an empty string]	[ucd=phys.veloc;pos.heliocentric]
#Column	cz	(I5)	? Vopt= cz [NULL integer written as an empty string]	[ucd=phys.veloc;pos.heliocentric]
#RA2000;DE2000;name;altname;PGC;type;T;lumcl;D25;R25;PA;BT;BT_code;BoT;V21;cz
#"h:m:s";"d:m:s"; ; ; ; ; ; ;[0.1arcmin]; ;deg;mag; ;mag;km/s;km/s
#----------;---------;------------;---------------;-----------;-------;----;----;-----;-----;---;-----;-;-----;-----;-----
10 23 27.4;+19 53 55;NGC  3226   ; UGC  5617     ;PGC30440   ;.E.2.*P;-5.0;    ; 1.50; 0.05; 15;12.30; ;12.45;     ; 1322
10 23 30.2;-35 27 19;IC   2573   ; ESO  375- 17  ;PGC30442   ;.SBS7*/; 6.5; 5.6; 1.18; 0.64;  2;     ; ;14.05; 4160;
10 23 30.0;+18 06 00;            ; UGC  5619     ;PGC30444   ;.S..0..; 0.0;    ; 1.00; 0.32; 85;     ; ;     ;     ;
10 23 31.5;+19 51 48;NGC  3227   ; UGC  5620     ;PGC30445   ;.SXS1P.; 1.0; 3.5; 1.73; 0.17;155;11.10; ;11.18; 1157; 1145
10 23 32.7;+10 57 35;IC    606   ; MCG  2-27-  6 ;PGC30448   ;.S?....;    ;    ; 0.64; 0.00;   ;     ; ;15.19;     ; 9465
10 23 30.0;+52 20 00;            ; UGC  5613     ;PGC30449   ;.S..8*.; 8.0;    ; 1.04; 0.64;  4;     ; ;14.28;     ; 9647
10 23 34.8;-38 39 19;            ; ESO  317- 22  ;PGC30451   ;.S?....;    ;    ; 1.11; 0.06;155;     ; ;14.38;     ; 2830
10 23 36.3;+28 18 45;            ; UGC  5621     ;PGC30453   ;.SXS4..; 4.0;    ; 1.04; 0.09; 90;     ; ;14.69; 6558;
10 23 41.8;+33 46 27;            ; UGC  5622     ;PGC30459   ;.SXS4..; 4.0;    ; 1.07; 0.17;   ;     ; ;14.78; 9999;
10 23 45.2;+57 01 38;NGC  3220   ; UGC  5614     ;PGC30462   ;.S..3*/; 3.0;    ; 1.23; 0.46; 97;     ; ;13.16; 1192;
10 23 42.0;+12 33 00;NGC  3230   ; UGC  5624     ;PGC30463   ;.L.....;-2.0;    ; 1.36; 0.30;115;     ; ;     ;     ;
10 23 49.1;+33 48 28;            ; UGC  5623     ;PGC30468   ;.S..6*.; 6.0;    ; 1.00; 0.21;125;     ; ;     ;10161;
10 23 56.5;-03 11 00;            ; MCG  0-27-  5 ;PGC30473   ;.SBR3..; 3.0; 1.9; 1.26; 0.22;   ;     ; ;12.78; 5670;
10 23 54.0;+78 51 00;            ; UGC  5596     ;PGC30475   ;.E...?.;-5.0;    ; 1.11; 0.00;   ;     ; ;     ;     ;
10 24 00.0;+70 52 00;A   1020+71 ; UGC  5612     ;PGC30484   ;.SBS8..; 8.0; 8.0; 1.53; 0.18;165;12.60; ;12.57; 1011;
10 24 07.3;-05 38 00;            ; MCG -1-27-  7 ;PGC30487   ;.S..5?/; 5.0;    ; 1.22; 0.81;   ;     ; ;     ; 5237;
10 24 10.8;+78 37 37;            ; UGC  5600     ;PGC30491   ;.L...?.;-2.0;    ; 1.15; 0.15;170;     ; ;14.14;     ; 2823
10 24 13.0;+21 03 00;            ; UGC  5629     ;PGC30493   ;.S..9*.; 9.0;    ; 1.11; 0.11;   ;     ; ;     ; 1246;
10 24 15.4;+16 44 37;IC    607   ; UGC  5628     ;PGC30496   ;.SBT4..; 4.0;    ; 1.25; 0.09;105;     ; ;13.73; 5575;
10 24 17.5;-32 28 56;NGC  3241   ; ESO  436- 16  ;PGC30498   ;.SAR2*.; 2.0; 4.0; 1.35; 0.16;123;     ;*;12.57;     ; 2844
10 24 24.0;+28 00 00;NGC  3232   ; MCG  5-25-  4 ;PGC30508   ;.S?....;    ;    ; 0.82; 0.00;   ;     ;*;15.00;     ; 6242
10 24 24.8;+78 36 36;            ; UGC  5609     ;PGC30510   ;.S?....;    ;    ; 1.10; 0.20; 15;     ; ;14.15;     ; 2729
10 24 24.0;+57 23 00;            ; UGC  5626     ;PGC30513   ;.I..9..;10.0;    ; 1.21; 0.42; 53;     ;*;     ;     ;
10 24 30.9;-21 47 26;NGC  3240   ; ESO  568-  3  ;PGC30515   ;.SAT6*.; 5.8; 4.4; 1.04; 0.07; 85;     ;*;13.43;     ; 3970
10 24 31.9;-36 16 20;            ; ESO  375- 20  ;PGC30518   ;.S?....;    ;    ; 0.91; 0.02;   ;     ; ;14.34;     ;10497
10 24 31.9;-23 33 14;            ; ESO  500- 34  ;PGC30519   ;RSBS0..;-0.1;    ; 1.04; 0.28;152;     ;*;13.86;     ; 3950
10 24 33.4;-36 55 56;            ; ESO  375- 22  ;PGC30522   ;PLA.0*P;-2.0;    ; 1.00; 0.08; 17;     ;*;14.66;     ; 2749
10 24 36.0;+20 06 00;            ; UGC  5632     ;PGC30526   ;PSXS3..; 3.0;    ; 1.02; 0.23;163;     ;*;     ;     ;
10 24 36.0;+14 45 00;A   1021+15 ; UGC  5633     ;PGC30531   ;.SB.8..; 8.0; 8.0; 1.49; 0.10;175;14.35; ;14.06; 1383;
10 24 42.6;-39 18 21;            ; ESO  317- 23  ;PGC30534   ;PSBT1..; 1.0;    ; 1.28; 0.36; 14;     ; ;13.08;     ; 2892
10 24 42.0;+06 24 00;            ; CGCG  37- 27  ;PGC30535   ;       ;    ;    ;     ;     ;   ;     ; ;15.05;     ;13094
10 24 42.0;+06 25 00;            ; CGCG  37- 28  ;PGC30536   ;       ;    ;    ;     ;     ;   ;     ; ;14.24;     ;13074
10 24 47.6;-43 57 51;            ; ESO  263- 33  ;PGC30544   ;PLAS-*.;-3.0;    ; 1.10; 0.05;   ;     ; ;     ;     ;
10 24 48.2;-26 41 27;            ; ESO  500- 37  ;PGC30545   ;RLB.+..;-1.3;    ; 1.06; 0.47;160;     ; ;     ;     ;
10 24 54.0;+28 01 00;NGC  3235   ; UGC  5635     ;PGC30553   ;.L..-*.;-3.0;    ; 1.08; 0.12; 85;     ; ;14.09;     ; 6409
10 24 57.0;-17 26 02;            ; MCG -3-27- 10 ;PGC30554   ;.SXT1P*; 1.0;    ; 1.07; 0.11;   ;     ; ;     ;     ;
10 25 05.6;+17 09 35;NGC  3239   ; UGC  5637     ;PGC30560   ;.IBS9P.;10.0;    ; 1.70; 0.18;   ;11.73; ;11.54;  753;  830
10 25 06.0;+28 05 00;IC   2572   ; UGC  5636     ;PGC30562   ;.S..1..; 1.0;    ; 0.97; 0.27; 27;     ; ;     ;     ;
10 25 10.4;+58 09 02;NGC  3225   ; UGC  5631     ;PGC30569   ;.S..6*.; 6.0;    ; 1.31; 0.29;155;     ; ;12.86; 2134;
10 25 18.0;+55 30 00;A   1022+55 ; MCG  9-17- 64 ;PGC30579   ;.SXS5*.; 5.0;    ; 0.99; 0.05;   ;     ; ;     ;     ; 7621
10 25 18.0;+26 27 00;            ; UGC  5638     ;PGC30584   ;.L.....;-2.0;    ; 1.11; 0.25;117;     ; ;14.52;     ;14430
10 25 24.0;+17 08 00;            ; MCG  3-27- 27 ;PGC30585   ;.SB?...;    ;    ; 0.99; 0.16;   ;     ; ;14.50;     ;  815
10 25 26.5;-15 20 56;            ; MCG -2-27-  1 ;PGC30591   ;.S..7*/; 7.0;    ; 1.17; 0.90;   ;     ; ;     ;     ;
10 25 29.3;-39 49 40;NGC  3244   ; ESO  317- 24  ;PGC30594   ;.SAT6..; 6.0; 3.3; 1.31; 0.13;170;12.89; ;     ;     ;
10 25 30.0;+17 14 00;            ; UGC  5639     ;PGC30595   ;.SX.5..; 5.0;    ; 1.14; 0.21;125;     ; ;     ;     ;
10 25 31.4;+51 40 25;            ;               ;PGC30597   ;       ;    ;    ;     ;     ;   ;16.06; ;15.86;     ;13474
10 25 35.5;-02 12 53;IC    609   ; UGC  5641     ;PGC30600   ;.SXT4P.; 3.5; 3.1; 1.18; 0.32; 10;     ; ;13.48; 5538;12608
10 25 41.3;+11 44 14;            ; UGC  5642     ;PGC30604   ;.S..4..; 4.0;    ; 1.27; 0.84; 98;     ; ;13.39; 2350; 2342
10 25 43.9;+39 38 48;NGC  3237   ; UGC  5640     ;PGC30610   ;RLX.0..;-2.0;    ; 1.11; 0.00;   ;     ; ;13.85;     ; 7079
10 25 46.4;+13 43 01;A   1023+13 ; UGC  5644     ;PGC30616   ;.SAR.*.;    ;    ; 1.00; 0.21; 15;15.15;S;14.57;     ; 9581
10 25 42.0;+26 33 00;            ; MCG  5-25-  9 ;PGC30617   ;.S?....;    ;    ; 0.94; 0.19;   ;     ; ;14.38;     ; 5094
10 25 48.7;+13 43 41;            ; MCG  2-27- 13 ;PGC30619   ;.L?....;    ;    ; 0.90; 0.00;   ;15.96;S;15.70;     ; 9487
10 25 51.1;-43 44 53;NGC  3256A  ; ESO  263- 34  ;PGC30626   ;.SBS9P*; 9.0; 8.9; 1.13; 0.32; 85;     ; ;     ;     ;
10 25 53.4;+14 21 45;A   1023+14 ; UGC  5646     ;PGC30630   ;.S.....;    ;    ; 1.44; 0.56;165;     ; ;12.75; 1370; 1350
10 25 54.0;+71 11 00;            ; UGC  5634     ;PGC30631   ;.SX.3..; 3.0;    ; 1.04; 0.20;152;     ; ;     ;     ;
10 25 59.4;-32 54 05;IC   2576   ; ESO  375- 23  ;PGC30634   ;.S?....;    ;    ; 0.90; 0.08;   ;     ; ;14.23;     ; 9345
10 26 14.4;-45 44 12;            ; ESO  263- 35  ;PGC30646   ;.SAT3*.; 3.1; 2.2; 1.25; 0.25;111;13.75; ;12.56;     ; 4600
10 26 21.7;-02 37 19;NGC  3243   ; UGC  5652     ;PGC30655   ;.L..0P*;-2.3;    ; 1.15; 0.10;125;     ; ;13.53;     ; 5540
10 26 22.1;-34 57 48;NGC  3249   ; ESO  375- 24  ;PGC30657   ;.SXT6*.; 6.0; 3.3; 1.20; 0.09;139;     ; ;13.33;     ; 3486
10 26 25.6;+17 30 36;            ; UGC  5651     ;PGC30659   ;.SX.6*.; 6.0;    ; 1.17; 0.13; 20;     ; ;13.63; 5568; 5528
10 26 24.0;+67 39 00;A   1022+67 ;               ;PGC30664   ;.I..9..;10.0; 9.0;     ;     ;   ;     ; ;     ;     ;
10 26 29.1;-20 02 30;            ; ESO  568-  9  ;PGC30666   ;.S?....;    ;    ; 1.06; 0.10;   ;     ; ;13.70; 3108;
10 26 31.6;+15 20 26;            ; UGC  5654     ;PGC30669   ;.S..4..; 4.0;    ; 1.06; 0.23;128;     ; ;14.38; 9831;
10 26 30.0;+20 13 00;IC    610   ; UGC  5653     ;PGC30670   ;.S..4./; 4.0; 2.5; 1.27; 0.76; 29;     ; ;     ;     ;
10 26 32.4;-39 56 36;NGC  3250   ; ESO  317- 26  ;PGC30671   ;.E.4...;-5.0;    ; 1.45; 0.14;148;12.18; ;11.53;     ; 2824
10 26 34.7;-02 49 49;            ; MCG  0-27- 13 ;PGC30676   ;.S..7P?; 7.0;    ; 1.12; 0.48;   ;     ; ;13.94; 5891;
10 26 36.0;+45 14 00;            ; UGC  5650     ;PGC30680   ;.S..3..; 3.0; 4.5; 1.02; 0.81; 52;     ; ;     ;     ;
10 26 40.6;-19 03 00;            ; ESO  568- 11  ;PGC30683   ;.SXS4*P; 4.0; 3.3; 1.20; 0.17;126;     ; ;     ;     ;
10 26 41.6;+03 51 38;NGC  3246   ; UGC  5661     ;PGC30684   ;.SX.8..; 8.0;    ; 1.38; 0.25;100;     ; ;12.83; 2150;
10 26 43.3;+57 13 39;NGC  3238   ; UGC  5649     ;PGC30686   ;.LAR0*.;-2.3;    ; 1.14; 0.01;   ;     ; ;13.79;     ; 7369
10 26 49.7;+34 55 12;            ; UGC  5656     ;PGC30694   ;.SXS4..; 4.0;    ; 1.12; 0.26;135;     ; ;14.37; 6662;
10 26 53.2;+62 20 09;A   1023+62 ; CGCG 313- 18  ;PGC30701   ;.S?....;    ;    ; 0.61; 0.14;   ;     ; ;15.45;     ; 9586
10 26 53.8;+44 00 22;A   1023+44 ; MCG  7-22-  6 ;PGC30702   ;.S?....;    ;    ; 0.73; 0.04;   ;     ; ;14.92;     ; 8237
10 26 56.9;-24 05 25;            ; ESO  500- 41  ;PGC30708   ;RSAR2..; 2.2;    ; 1.03; 0.17;173;     ; ;     ;     ;
10 27 01.2;+28 38 29;NGC  3245A  ; UGC  5662     ;PGC30714   ;.SBS3./; 3.0;    ; 1.52; 0.99;150;     ; ;13.27; 1325; 1486
10 27 02.1;+56 16 09;A   1023+56 ; UGCA  211     ;PGC30715   ;.P.....;99.0;    ; 0.54; 0.25;   ;16.14; ;     ;  833;  867
10 27 02.3;-36 13 37;            ; ESO  375- 26  ;PGC30716   ;.S..4*/; 4.0;    ; 1.28; 0.73; 30;     ; ;13.15;     ; 3373
10 27 05.7;-45 40 01;            ; ESO  263- 36  ;PGC30721   ;       ;    ;    ; 0.90; 0.22;175;     ; ;14.59;     ; 1550
10 27 10.3;-03 19 13;            ; CGCG   9- 42  ;PGC30732   ;       ;    ;    ;     ;     ;   ;     ; ;14.36;     ;11510
10 27 12.0;+20 26 00;A   1024+20 ;               ;PGC30735   ;       ;    ;    ;     ;     ;   ;     ; ;     ;     ; 5772
10 27 12.0;+71 24 00;            ; UGC  5645     ;PGC30737   ;.SBS3..; 3.0;    ; 1.09; 0.53;142;     ; ;     ;     ;
10 27 18.3;+28 30 29;NGC  3245   ; UGC  5663     ;PGC30744   ;.LAR0*$;-2.0;    ; 1.51; 0.26;177;11.70; ;11.65;     ; 1348
10 27 21.1;-35 16 25;            ; ESO  375- 28  ;PGC30750   ;.LX.0*.;-2.0;    ; 1.09; 0.50; 61;     ; ;     ;     ;
10 27 23.0;-33 52 38;IC   2578   ; ESO  375- 29  ;PGC30753   ;.S..5*/; 5.0;    ; 1.17; 0.72;141;     ; ;     ;     ;
10 27 24.0;-43 08 14;            ; ESO  263- 37  ;PGC30754   ;.SAT3..; 3.3;    ; 1.02; 0.09;   ;     ; ;     ;     ;
10 27 30.0;+16 56 00;            ; CGCG  94- 65  ;PGC30763   ;       ;    ;    ;     ;     ;   ;     ; ;14.94;     ;10379
10 27 42.7;-40 00 08;NGC  3250C  ; ESO  317- 28  ;PGC30774   ;PSAT2*.; 1.6;    ; 1.25; 0.51; 56;     ; ;     ;     ;
10 27 44.3;-40 26 08;NGC  3250B  ; ESO  317- 29  ;PGC30775   ;.SB.1P?; 1.0;    ; 1.36; 0.59;  6;13.74; ;12.66;     ; 2520
10 27 45.6;+22 50 56;NGC  3248   ; UGC  5669     ;PGC30776   ;.L.....;-2.0;    ; 1.40; 0.34;135;     ; ;     ;     ;
10 27 42.0;+27 07 00;            ; UGC  5670     ;PGC30780   ;.S..4..; 4.0;    ; 1.11; 0.95;115;     ; ;     ;     ;
10 27 51.5;-43 54 20;NGC  3256   ; ESO  263- 38  ;PGC30785   ;.P.....;99.0;    ; 1.58; 0.25;100;12.15;M;     ;     ; 2781
10 27 53.6;-40 04 50;NGC  3250A  ; ESO  317- 30  ;PGC30790   ;.S..3*/; 2.6;    ; 1.09; 0.75; 89;     ; ;     ;     ;
10 27 55.5;+19 29 27;A   1025+19 ; MCG  3-27- 42 ;PGC30791   ;.S?....;    ;    ; 0.52; 0.08;   ;     ; ;     ;     ;12384
10 27 57.9;-39 48 57;NGC  3250D  ; ESO  317- 31  ;PGC30792   ;.L...*/;-1.7;    ; 1.24; 0.80; 29;     ; ;     ;     ;
10 27 54.0;+49 59 00;            ; UGC  5668     ;PGC30795   ;.S..6*.; 6.0;    ; 1.07; 0.21;  5;     ; ;     ;     ;
10 28 02.0;-42 06 39;            ; ESO  317- 32  ;PGC30798   ;PSBR3?.; 3.4; 3.3; 1.18; 0.47; 74;     ; ;     ;     ;
10 28 17.6;+79 49 29;NGC  3212   ; UGC  5643     ;PGC30813   ;.SB?...;    ;    ; 1.19; 0.15;107;     ; ;13.73;     ; 9769
10 28 18.7;-31 31 09;IC   2580   ; ESO  436- 25  ;PGC30814   ;.SBT5..; 4.8; 2.6; 1.27; 0.03;   ;13.20; ;12.93; 3132; 3137
10 28 19.1;-35 27 15;NGC  3258A  ; ESO  375- 32  ;PGC30815   ;.LX.+*.;-1.3;    ; 1.06; 0.39;169;14.10; ;14.06;     ; 2930
10 28 20.8;+22 34 20;            ; UGC  5672     ;PGC30818   ;.S?....;    ;    ; 1.26; 0.52;158;     ; ;13.69;  531;
10 28 22.5;+68 24 59;IC   2574   ; UGC  5666     ;PGC30819   ;.SXS9..; 9.0; 8.0; 2.12; 0.39; 50;10.80; ;10.33;   47;   -4
10 28 24.8;-34 28 21;            ; ESO  375- 33  ;PGC30823   ;.SAT4..; 4.0; 4.4; 1.02; 0.10;143;     ; ;     ;     ;
10 28 24.0;-03 14 00;            ; CGCG   9- 52  ;PGC30828   ;       ;    ;    ;     ;     ;   ;     ; ;15.08;     ;10519
10 28 27.5;+12 42 22;NGC  3253   ; UGC  5674     ;PGC30829   ;.SXT4..; 4.0; 3.1; 1.08; 0.02;   ;14.30; ;14.00; 9689; 9711
10 28 30.0;+19 34 00;            ; UGC  5675     ;PGC30831   ;.S..9*.; 9.0;    ; 1.27; 0.19;   ;     ; ;     ; 1109;
10 28 35.5;+03 33 39;            ; UGC  5677     ;PGC30832   ;.S..8*.; 8.0;    ; 1.16; 1.00;  6;     ; ;     ; 1153;
10 28 42.0;+03 40 00;            ; UGC  5678     ;PGC30839   ;.S..4..; 4.0;    ; 1.04; 0.18; 50;     ; ;     ;     ;
10 28 41.8;+79 48 48;NGC  3215   ; UGC  5659     ;PGC30840   ;.S?....;    ;    ; 1.04; 0.02;130;     ; ;13.82;     ; 9468
10 28 42.7;+39 50 16;A   1025+40 ; CGCG 212- 11  ;PGC30842   ;       ;    ;    ; 0.62; 0.11;   ;     ; ;15.57;     ; 8769
10 28 47.1;-35 39 28;NGC  3257   ; ESO  375- 36  ;PGC30849   ;.LXS-*.;-2.7;    ; 1.00; 0.06;  0;14.11; ;13.76;     ; 3172
10 28 48.0;+04 12 00;            ; CGCG  37- 47  ;PGC30852   ;       ;    ;    ;     ;     ;   ;     ; ;15.10;     ; 2234
10 28 48.0;+66 49 00;            ; UGC  5671     ;PGC30853   ;.I..9..;10.0;    ; 1.14; 0.39;155;     ; ;     ; 1120;
10 28 53.6;+19 45 35;            ; UGC  5681     ;PGC30855   ;.SB.3..; 3.0;    ; 1.09; 0.65;165;     ; ;14.44; 8134;
10 28 54.0;+26 20 00;            ; UGC  5679     ;PGC30856   ;.S?....;    ;    ; 1.21; 0.46;122;     ; ;14.02; 6488;
10 28 53.8;-31 36 34;            ; ESO  436- 27  ;PGC30857   ;PLAS0P.;-2.0;    ; 1.37; 0.30;  0;12.60; ;     ;     ;
10 28 54.2;-35 36 22;NGC  3258   ; ESO  375- 37  ;PGC30859   ;.E.1...;-5.0;    ; 1.46; 0.07; 75;12.49; ;12.22;     ; 2792
10 28 57.5;-35 48 15;            ;               ;PGC30860   ;.IXS9..;10.0;10.0; 1.15; 0.14;   ;     ; ;     ;     ;
10 29 00.9;-40 04 59;NGC  3250E  ; ESO  317- 34  ;PGC30865   ;.SXS6*.; 6.0; 4.4; 1.32; 0.17;142;     ; ;12.44; 2818; 2570
10 29 01.3;-44 24 11;NGC  3256B  ; ESO  263- 39  ;PGC30867   ;.SBS4*.; 4.2; 5.6; 1.26; 0.53;135;     ; ;     ;     ;
10 29 02.1;-44 39 23;NGC  3261   ; ESO  263- 40  ;PGC30868   ;.SBT3..; 3.0; 1.5; 1.57; 0.12; 85;     ; ;11.14; 2553; 2582
10 29 00.0;+54 42 00;            ; UGC  5676     ;PGC30871   ;.SB.8*.; 8.0;    ; 1.13; 0.18; 15;     ; ;14.32; 1412;
10 29 05.9;-43 51 11;NGC  3256C  ; ESO  263- 41  ;PGC30873   ;.SBT7..; 7.0; 5.6; 1.19; 0.13;159;     ; ;12.51;     ; 2550
10 29 06.2;-35 35 40;NGC  3260   ; ESO  375- 40  ;PGC30875   ;.E...P*;-4.7;    ; 1.09; 0.11;  2;13.71; ;13.39;     ; 2416
10 29 06.5;-44 09 41;NGC  3262   ; ESO  263- 42  ;PGC30876   ;.LXT+P.;-1.5;    ; 1.05; 0.09;108;     ; ;13.58;     ; 2834
10 29 10.6;-30 20 40;IC   2582   ; ESO  436- 28  ;PGC30880   ;.SXR5..; 4.8; 2.2; 1.15; 0.10;   ;     ; ;13.35;     ; 4210
10 29 12.6;+06 07 38;            ; UGC  5687     ;PGC30885   ;.S..6*.; 6.0;    ; 1.31; 0.96;111;     ; ;13.35; 3563;
10 29 13.7;-44 06 17;NGC  3263   ; ESO  263- 43  ;PGC30887   ;.SBT6*/; 6.0;    ; 1.71; 0.56; 97;12.50; ;10.59; 3015;
10 29 16.9;+26 05 58;NGC  3251   ; UGC  5684     ;PGC30892   ;.SB?...;    ;    ; 1.30; 0.70; 55;     ; ;13.10; 5087; 5131
10 29 20.0;+29 29 28;NGC  3254   ; UGC  5685     ;PGC30895   ;.SAS4..; 4.0; 3.3; 1.70; 0.50; 46;12.41; ;11.51; 1365; 1223
10 29 24.0;+60 17 00;            ; UGC  5680     ;PGC30898   ;.S?....;    ;    ; 0.95; 0.54;165;     ; ;14.17;     ; 7024
10 29 24.0;-03 44 00;            ; CGCG   9- 57  ;PGC30899   ;       ;    ;    ;     ;     ;   ;     ; ;15.12;     ; 8549
10 29 29.7;+19 37 15;            ; UGC  5690     ;PGC30903   ;.SB?...;    ;    ; 0.97; 0.08;   ;     ; ;14.20; 8072; 8071
10 29 30.1;-03 45 41;            ; MCG  0-27- 22 ;PGC30904   ;.E?....;    ;    ;     ;     ;   ;     ; ;14.61;     ; 9241
10 29 31.5;-35 15 35;A   1027-35A; ESO  375- 41  ;PGC30905   ;.L..-./;-2.8;    ; 1.11; 0.61;148;     ; ;14.26;     ; 1862
10 29 32.2;-39 50 29;            ; ESO  317- 36  ;PGC30907   ;.SBS1P.; 1.0;    ; 1.15; 0.21; 86;     ; ;     ;     ;
10 29 37.2;-24 06 47;            ; ESO  501-  1  ;PGC30915   ;.SXS7..; 7.0; 5.6; 1.29; 0.23;159;     ; ;13.18; 3776; 3940
10 29 38.6;-03 50 46;            ; MCG -1-27-  9 ;PGC30917   ;.SAR5*.; 5.0; 5.3; 1.06; 0.14;   ;     ; ;     ;     ;
10 29 46.4;-38 20 54;            ; ESO  317- 38  ;PGC30927   ;RSB.1P?; 1.0;    ; 1.11; 0.49; 73;     ; ;     ;     ;
10 29 46.8;+13 01 04;            ; UGC  5695     ;PGC30928   ;.S?....;    ;    ; 1.10; 0.43; 96;     ; ;13.89; 2940;
10 29 49.6;+16 10 59;A   1027+16 ; CGCG  94- 75  ;PGC30932   ;       ;    ;    ;     ;     ;   ;     ; ;14.99;     ; 3200
10 29 49.7;-35 19 24;NGC  3267   ; ESO  375- 42  ;PGC30934   ;.LXR0..;-2.0;    ; 1.26; 0.22;148;     ; ;13.14;     ; 3745
10 31 48.2;-26 33 57;            ; ESO  501-  3  ;PGC31085   ;.LX.-..;-3.0;    ; 1.18; 0.07;   ;     ; ;     ;     ;
10 29 48.0;+19 50 00;            ; UGC  5696     ;PGC30935   ;.S..3..; 3.0; 2.5; 1.13; 0.23; 37;     ; ;     ;     ;
10 29 51.8;-34 54 42;IC   2584   ; ESO  375- 43  ;PGC30938   ;.L...*/;-2.0;    ; 1.30; 0.65;133;13.60; ;13.26;     ; 2549
10 29 52.9;-35 22 32;A   1027-35B;               ;PGC30939   ;.E...*.;-4.6;    ;     ;     ;   ;     ; ;     ;     ; 1781
10 29 57.6;-35 13 30;NGC  3269   ; ESO  375- 44  ;PGC30945   ;.LAR+..;-1.0;    ; 1.40; 0.34;  8;13.14; ;12.83;     ; 3799
10 30 00.6;-35 19 30;NGC  3268   ; ESO  375- 45  ;PGC30949   ;.E.2...;-5.0;    ; 1.54; 0.14; 71;12.50; ;12.26;     ; 2805
10 30 10.7;-03 09 51;            ; MCG  0-27- 23 ;PGC30960   ;.LXT+*.;-1.0;    ; 1.31; 0.09;   ;13.75; ;13.35;     ;11438
10 30 14.7;-44 18 36;            ; ESO  263- 46  ;PGC30966   ;.SBS7*.; 7.3; 6.7; 1.14; 0.54; 13;     ; ;     ;     ;
10 30 12.0;+44 07 00;            ; UGC  5698     ;PGC30971   ;.S..4..; 4.0;    ; 1.28; 0.95;127;     ; ;     ; 8707;
10 30 20.2;-34 24 13;            ; ESO  375- 47  ;PGC30976   ;.L.+*/P;-1.0;    ; 1.11; 0.46; 10;     ; ;14.16;     ; 3040
10 30 18.0;+22 44 00;            ; UGC  5704     ;PGC30978   ;.S..6*.; 6.0;    ; 1.14; 1.16; 71;     ; ;     ;     ;
10 30 18.0;+70 03 00;A   1026+70A; UGC  5688     ;PGC30983   ;.SB.9*.; 9.0; 9.0; 1.60; 0.31;145;13.80; ;13.38; 1921; 2055
